"Story","Title","Result","Date","Stability","Duration (s)"
"Ver información de un usuario","Visualizar informacion de un usuario","SUCCESS","2022-04-06T18:06:27.41-05:00[America/Bogota]","0.0","5.69"
"Ver información de un usuario","Visualizar informacion de un usuario inexistente","SUCCESS","2022-04-06T18:06:33.116-05:00[America/Bogota]","0.0","1.49"
