"Story","Title","Result","Date","Stability","Duration (s)"
"Registro de usuario","Registro exitoso","SUCCESS","2022-04-06T18:06:34.609-05:00[America/Bogota]","0.0","1.73"
"Registro de usuario","Registro fallido","SUCCESS","2022-04-06T18:06:36.353-05:00[America/Bogota]","0.0","1.83"
