"Story","Title","Result","Date","Stability","Duration (s)"
"Registro de usuario","Registro exitoso","SUCCESS","2022-03-27T19:06:57.855-05:00[America/Bogota]","0.0","0.81"
"Registro de usuario","Registro fallido","SUCCESS","2022-03-27T19:06:58.674-05:00[America/Bogota]","0.0","0.75"
