"Story","Title","Result","Date","Stability","Duration (s)"
"Registro de usuario","Registro exitoso","SUCCESS","2022-03-27T07:18:58.515-05:00[America/Bogota]","0.0","4.28"
"Registro de usuario","Registro fallido","SUCCESS","2022-03-27T07:19:02.812-05:00[America/Bogota]","0.0","0.81"
